,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
0,Maharashtra,1,5,1,1,0.08850818127393723,0.09689922645110491,0.6437011293002832
1,Maharashtra,1,5,1,5,0.4859788119792938,0.5053455880773137,-8.6906025765521
2,Maharashtra,1,5,1,8,0.012539833784103394,0.014913631531240854,0.9915600355036975
3,Maharashtra,1,5,1,16,0.016857529059052467,0.01913673899089446,0.9861033632709697
4,Maharashtra,1,5,1,32,0.04790395870804787,0.053389393069104556,0.8918357426374055
5,Maharashtra,1,7,1,1,0.49117934703826904,0.5104442186769351,-9.75757917080296
6,Maharashtra,1,7,1,5,0.045123301446437836,0.05391270065066298,0.879994783728292
7,Maharashtra,1,7,1,8,0.036181483417749405,0.039288722568629794,0.9362685614111267
8,Maharashtra,1,7,1,16,0.05740495026111603,0.0586335742241457,0.8580580899985886
9,Maharashtra,1,7,1,32,0.02691488526761532,0.027239600086260193,0.9693648948801399
10,Maharashtra,1,15,1,1,0.49812066555023193,0.5102693254249215,-14.94136163604836
11,Maharashtra,1,15,1,5,0.029378753155469894,0.03587933827691954,0.9211838374423578
12,Maharashtra,1,15,1,8,0.11292556673288345,0.11370983112757527,0.20836950832707968
13,Maharashtra,1,15,1,16,0.08826941251754761,0.09865228064245586,0.40414478027418876
14,Maharashtra,1,15,1,32,0.05184001103043556,0.062341881206535124,0.7620496945084761
15,Maharashtra,2,5,1,1,0.3921843469142914,0.4193481073981081,-5.673031501303388
16,Maharashtra,2,5,1,5,0.19275084137916565,0.20017341866216998,-0.5205008043899304
17,Maharashtra,2,5,1,8,0.17729215323925018,0.18471770481710323,-0.2947647207756099
18,Maharashtra,2,5,1,16,0.14078152179718018,0.14547402034312645,0.19694600185276456
19,Maharashtra,2,5,1,32,0.09758409857749939,0.09880350940967515,0.6295594251842906
20,Maharashtra,2,7,1,1,0.3566575050354004,0.3837940322515379,-5.081551779013954
21,Maharashtra,2,7,1,5,0.1780921369791031,0.1854499965528877,-0.41994533602531225
22,Maharashtra,2,7,1,8,0.21079345047473907,0.21730369745934489,-0.9496299155723846
23,Maharashtra,2,7,1,16,0.13882838189601898,0.14144912933703274,0.1739268276453586
24,Maharashtra,2,7,1,32,0.1097116693854332,0.11207759536342542,0.48137248411701317
25,Maharashtra,2,15,1,1,0.3026500940322876,0.3260255931004068,-5.507735252833103
26,Maharashtra,2,15,1,5,0.12016664445400238,0.12050696454607668,0.11089963301262762
27,Maharashtra,2,15,1,8,0.2167321890592575,0.21909322378987434,-1.938897021042167
28,Maharashtra,2,15,1,16,0.19621969759464264,0.19764458731217693,-1.391642925115888
29,Maharashtra,2,15,1,32,0.1446777582168579,0.1453104857335922,-0.292767512286253
30,Maharashtra,3,5,1,1,0.396347314119339,0.4150531542012614,-5.537042260457023
31,Maharashtra,3,5,1,5,0.19435356557369232,0.2017125299530423,-0.543972592553255
32,Maharashtra,3,5,1,8,0.1665949821472168,0.1699014465066276,-0.09538811052374507
33,Maharashtra,3,5,1,16,0.08334703743457794,0.08547240079042505,0.7227793146208142
34,Maharashtra,3,5,1,32,0.14086569845676422,0.1426389577502609,0.22794161145318792
35,Maharashtra,3,7,1,1,0.3802696466445923,0.3949184028933186,-5.43921076191342
36,Maharashtra,3,7,1,5,0.1422794759273529,0.1444352707626861,0.13868008284602318
37,Maharashtra,3,7,1,8,0.23591449856758118,0.23957999199458427,-1.3698402809404895
38,Maharashtra,3,7,1,16,0.16263002157211304,0.16464965634330417,-0.11928235492876116
39,Maharashtra,3,7,1,32,0.15221495926380157,0.15413079196097262,0.019163019035807083
40,Maharashtra,3,15,1,1,0.18961049616336823,0.19064578974812282,-1.2252609282728328
41,Maharashtra,3,15,1,5,0.2201673984527588,0.22170936285017787,-2.0095017873969687
42,Maharashtra,3,15,1,8,0.2402089685201645,0.24222163759640647,-2.592132575887963
43,Maharashtra,3,15,1,16,0.2373170405626297,0.23916691980420537,-2.5021011714175185
44,Maharashtra,3,15,1,32,0.17135688662528992,0.1727604437281676,-0.8273221491988758
45,Maharashtra,4,5,1,1,0.3303534686565399,0.35353923950568533,-3.742955801814084
46,Maharashtra,4,5,1,5,0.18098795413970947,0.1966067727329091,-0.4667996384912174
47,Maharashtra,4,5,1,8,0.20113927125930786,0.21181148032637762,-0.7024438223317706
48,Maharashtra,4,5,1,16,0.1499280035495758,0.15238181885662053,0.11886972571020127
49,Maharashtra,4,5,1,32,0.09874965995550156,0.10133808357637271,0.6103100667212319
50,Maharashtra,4,7,1,1,0.09922225028276443,0.11834756537336778,0.42172215605487473
51,Maharashtra,4,7,1,5,0.15566803514957428,0.18108943659242654,-0.3539550426486149
52,Maharashtra,4,7,1,8,0.23187710344791412,0.2381210961484927,-1.3410664016668208
53,Maharashtra,4,7,1,16,0.07716967165470123,0.0836382542442893,0.7111795725744727
54,Maharashtra,4,7,1,32,0.06735564023256302,0.06970686153370896,0.7993824015483719
55,Maharashtra,4,15,1,1,0.21087977290153503,0.233668781274067,-2.342934841987609
56,Maharashtra,4,15,1,5,0.21771904826164246,0.2328291938224208,-2.3189549309062083
57,Maharashtra,4,15,1,8,0.12017706036567688,0.1216030523979067,0.09465213705841757
58,Maharashtra,4,15,1,16,0.03421878069639206,0.03724841372181413,0.9150541681492418
59,Maharashtra,4,15,1,32,0.03266298025846481,0.03452389289191317,0.9270263562027931
60,Maharashtra,5,5,1,1,0.3799622356891632,0.3857837702876256,-4.647571240183492
61,Maharashtra,5,5,1,5,0.14688654243946075,0.16380618713910702,-0.018203058187917565
62,Maharashtra,5,5,1,8,0.14460505545139313,0.16274307094969814,-0.0050296128525291195
63,Maharashtra,5,5,1,16,0.11992701888084412,0.13526397970537876,0.3057144483534603
64,Maharashtra,5,5,1,32,0.14053915441036224,0.1486202106823074,0.16183493343735622
65,Maharashtra,5,7,1,1,0.04895799607038498,0.05321912141313045,0.8830626190518046
66,Maharashtra,5,7,1,5,0.17878465354442596,0.1872076696186992,-0.4469892606949011
67,Maharashtra,5,7,1,8,0.10093045979738235,0.12472806721755438,0.35768759110035764
68,Maharashtra,5,7,1,16,0.16712871193885803,0.17302131937736884,-0.23599620962902002
69,Maharashtra,5,7,1,32,0.13547283411026,0.14657185803207462,0.11300905658028837
70,Maharashtra,5,15,1,1,0.16724564135074615,0.17031579014461162,-0.7759728632328919
71,Maharashtra,5,15,1,5,0.17804917693138123,0.19905300351281754,-1.4258500816994286
72,Maharashtra,5,15,1,8,0.16308118402957916,0.1854838314368171,-1.1063892873882697
73,Maharashtra,5,15,1,16,0.1448812186717987,0.16309213912045536,-0.6285180582289598
74,Maharashtra,5,15,1,32,0.1574450433254242,0.179045868828574,-0.9627054993256925
75,Maharashtra,6,5,1,1,0.2768852114677429,0.2806100452236029,-1.9879975814574915
76,Maharashtra,6,5,1,5,0.28642356395721436,0.3148099521452826,-2.760717421950852
77,Maharashtra,6,5,1,8,0.06314695626497269,0.08077810391104796,0.7523940152794967
78,Maharashtra,6,5,1,16,0.11254137009382248,0.12038534362021454,0.45005268000288357
79,Maharashtra,6,5,1,32,0.17142263054847717,0.17953862366834966,-0.2231779367754414
80,Maharashtra,6,7,1,1,0.3332069516181946,0.3355560576811108,-3.648877634676629
81,Maharashtra,6,7,1,5,0.2348371148109436,0.2507132845133942,-1.5952106033312043
82,Maharashtra,6,7,1,8,0.12508328258991241,0.14858760898267104,0.08844442720880685
83,Maharashtra,6,7,1,16,0.10048705339431763,0.11380211932343962,0.46528959423029237
84,Maharashtra,6,7,1,32,0.10988466441631317,0.12101775907527362,0.3953331688763565
85,Maharashtra,6,15,1,1,0.33086660504341125,0.3320178309702185,-5.749153393193904
86,Maharashtra,6,15,1,5,0.19718506932258606,0.215720270021917,-1.8491048807474773
87,Maharashtra,6,15,1,8,0.14387407898902893,0.148989160527874,-0.3590512876632277
88,Maharashtra,6,15,1,16,0.12822528183460236,0.14236165950509283,-0.2408307978111348
89,Maharashtra,6,15,1,32,0.10217329859733582,0.11117692769029368,0.243244019372302
90,Delhi,1,5,1,1,0.09108242392539978,0.10065563342768062,0.7267049242253716
91,Delhi,1,5,1,5,0.2147560566663742,0.2320138410979674,-0.4520561480152736
92,Delhi,1,5,1,8,0.07835826277732849,0.08549407054340595,0.8028359819066719
93,Delhi,1,5,1,16,0.037016138434410095,0.03946675098344973,0.9579836393804884
94,Delhi,1,5,1,32,0.047080203890800476,0.049739708773386564,0.9332637016948209
95,Delhi,1,7,1,1,0.46354764699935913,0.4857479909589277,-5.834394861464734
96,Delhi,1,7,1,5,0.12108509987592697,0.127430641333522,0.5296449638847986
97,Delhi,1,7,1,8,0.05846227705478668,0.06274250414306137,0.885974580343574
98,Delhi,1,7,1,16,0.08665213733911514,0.09176205928518939,0.7561042004121877
99,Delhi,1,7,1,32,0.09933564811944962,0.10728561255432462,0.6666035199366556
100,Delhi,1,15,1,1,0.47465750575065613,0.48809516412593756,-9.512961001301058
101,Delhi,1,15,1,5,0.15126369893550873,0.15428348072680848,-0.050400445903139524
102,Delhi,1,15,1,8,0.12640228867530823,0.13129988585159907,0.23924502172769369
103,Delhi,1,15,1,16,0.048492442816495895,0.06087907862401747,0.8364493923430338
104,Delhi,1,15,1,32,0.15993300080299377,0.16322140007453162,-0.17562885765491498
105,Delhi,2,5,1,1,0.3618188202381134,0.3995075815863572,-3.3053223660572923
106,Delhi,2,5,1,5,0.16811376810073853,0.18302163811797828,0.0964327480158097
107,Delhi,2,5,1,8,0.16698670387268066,0.18464442183177335,0.0803384490019472
108,Delhi,2,5,1,16,0.13345502316951752,0.14264696889061057,0.45111579896423726
109,Delhi,2,5,1,32,0.09808094054460526,0.105682373046875,0.6987265992230057
110,Delhi,2,7,1,1,0.39531105756759644,0.44081418663166294,-4.628454744163428
111,Delhi,2,7,1,5,0.20257306098937988,0.21719047969722635,-0.36634254179675474
112,Delhi,2,7,1,8,0.16576184332370758,0.17866064103892282,0.07543840352296238
113,Delhi,2,7,1,16,0.16689440608024597,0.17941488442293946,0.06761568009302321
114,Delhi,2,7,1,32,0.10854308307170868,0.11298929195891662,0.6302122226518241
115,Delhi,2,15,1,1,0.420440673828125,0.4490015416989695,-7.896346800625631
116,Delhi,2,15,1,5,0.18594472110271454,0.1913451369679367,-0.615663300956125
117,Delhi,2,15,1,8,0.1894417405128479,0.19477984274373128,-0.6741873306224546
118,Delhi,2,15,1,16,0.15356959402561188,0.15685235979079254,-0.08567083800457342
119,Delhi,2,15,1,32,0.11250261217355728,0.11761085808686632,0.38960517079472456
120,Delhi,3,5,1,1,0.2970426082611084,0.3276101569197637,-1.8951450893595423
121,Delhi,3,5,1,5,0.15617288649082184,0.1707558391195397,0.21348536247251737
122,Delhi,3,5,1,8,0.18735618889331818,0.202935341177085,-0.1108897868069656
123,Delhi,3,5,1,16,0.10243435204029083,0.10755017594854442,0.6879832482188615
124,Delhi,3,5,1,32,0.10531167685985565,0.10990661190457125,0.6741608405381843
125,Delhi,3,7,1,1,0.27029553055763245,0.30055286356882277,-1.616494319721999
126,Delhi,3,7,1,5,0.13495643436908722,0.14563750561239494,0.3856378216319606
127,Delhi,3,7,1,8,0.10949965566396713,0.11681376705048889,0.6047552791286874
128,Delhi,3,7,1,16,0.12483376264572144,0.13088104438714582,0.5038288283450605
129,Delhi,3,7,1,32,0.11059439182281494,0.11622366314621943,0.6087384283418349
130,Delhi,3,15,1,1,0.2222236692905426,0.22940398611280138,-1.322298055391447
131,Delhi,3,15,1,5,0.22873085737228394,0.23570689211304705,-1.4516621890142383
132,Delhi,3,15,1,8,0.23493175208568573,0.24175294991708277,-1.5790490636405892
133,Delhi,3,15,1,16,0.18727625906467438,0.19186590432530493,-0.624469803229367
134,Delhi,3,15,1,32,0.1533307284116745,0.15882529259486172,-0.11315432929229985
135,Delhi,4,5,1,1,0.30088821053504944,0.33525822961977003,-2.0318977571806625
136,Delhi,4,5,1,5,0.13758213818073273,0.16542236127247748,0.26185095077285214
137,Delhi,4,5,1,8,0.20472444593906403,0.22067050355170278,-0.3135427100209125
138,Delhi,4,5,1,16,0.10345125943422318,0.12343270874985826,0.5890242946038574
139,Delhi,4,5,1,32,0.05404847860336304,0.059868470926900744,0.9033165945068549
140,Delhi,4,7,1,1,0.63796067237854,0.6644597604320474,-11.7883769363142
141,Delhi,4,7,1,5,0.13859876990318298,0.16528824611165965,0.20866205526004067
142,Delhi,4,7,1,8,0.2281511425971985,0.24351536602389554,-0.7176346141233552
143,Delhi,4,7,1,16,0.023746678605675697,0.026878415404620798,0.9790740424003812
144,Delhi,4,7,1,32,0.033070407807826996,0.03749563569262931,0.9592770248508092
145,Delhi,4,15,1,1,0.32781127095222473,0.3477861611743354,-4.337533729228692
146,Delhi,4,15,1,5,0.19691863656044006,0.21734703125934687,-1.084603485213849
147,Delhi,4,15,1,8,0.21162575483322144,0.2159681806146984,-1.0582378190466732
148,Delhi,4,15,1,16,0.09731388092041016,0.10048205372130105,0.5544534544318057
149,Delhi,4,15,1,32,0.047110870480537415,0.04756232595584195,0.9001743493299582
150,Delhi,5,5,1,1,0.3195318281650543,0.3413140183264661,-2.1424176515623072
151,Delhi,5,5,1,5,0.1485750526189804,0.1658009487478844,0.25846850804702204
152,Delhi,5,5,1,8,0.16636548936367035,0.18109787073129052,0.11532798814124057
153,Delhi,5,5,1,16,0.028238773345947266,0.03156567367564687,0.9731226959574469
154,Delhi,5,5,1,32,0.08349457383155823,0.09905224555999814,0.735342476227856
155,Delhi,5,7,1,1,0.0193546824157238,0.023339148385371353,0.9842221400268061
156,Delhi,5,7,1,5,0.19596898555755615,0.21543126836284893,-0.34429783859714824
157,Delhi,5,7,1,8,0.104160837829113,0.1283224715308143,0.5230382721891845
158,Delhi,5,7,1,16,0.11629433184862137,0.12695969784667627,0.5331151379209778
159,Delhi,5,7,1,32,0.0485912524163723,0.058768310401079285,0.8999621250264183
160,Delhi,5,15,1,1,0.24032005667686462,0.24811238452588316,-1.7165199093509074
161,Delhi,5,15,1,5,0.15331144630908966,0.16206068433736803,-0.1589678300964401
162,Delhi,5,15,1,8,0.1672728806734085,0.1726119163607876,-0.3147935830659905
163,Delhi,5,15,1,16,0.14270028471946716,0.14709541035726695,0.045195924533049214
164,Delhi,5,15,1,32,0.06292074918746948,0.07397094251653229,0.7585437951599853
165,Delhi,6,5,1,1,0.20622172951698303,0.2256791141185924,-0.3738470187822198
166,Delhi,6,5,1,5,0.2049795687198639,0.23379261457123826,-0.4744064962014831
167,Delhi,6,5,1,8,0.10783427208662033,0.1152277637460198,0.6418459447412789
168,Delhi,6,5,1,16,0.10104599595069885,0.11020314523795961,0.6724001903127357
169,Delhi,6,5,1,32,0.0628349706530571,0.06964442640576213,0.8691636677732224
170,Delhi,6,7,1,1,0.22419606149196625,0.23940652390715705,-0.660160309895637
171,Delhi,6,7,1,5,0.13624663650989532,0.15509083044819497,0.30329282212260045
172,Delhi,6,7,1,8,0.07736306637525558,0.09136715709168775,0.7581988935344227
173,Delhi,6,7,1,16,0.07054612040519714,0.07882317369164236,0.8200359113265716
174,Delhi,6,7,1,32,0.11364796757698059,0.12134302155297899,0.573511147409816
175,Delhi,6,15,1,1,0.24506720900535583,0.2495435033810136,-1.7479491299088146
176,Delhi,6,15,1,5,0.18451261520385742,0.19740597292910986,-0.7196362523104425
177,Delhi,6,15,1,8,0.13225102424621582,0.13612050229296924,0.18235811600578689
178,Delhi,6,15,1,16,0.03918259218335152,0.041872459601894195,0.9226299210395049
179,Delhi,6,15,1,32,0.04426756128668785,0.05074560078673718,0.8863648026262956
180,Uttar-Pradesh,1,5,1,1,0.09851500391960144,0.1091795221849531,0.7786639060963967
181,Uttar-Pradesh,1,5,1,5,0.46041539311408997,0.5001560802036368,-3.6449497370630866
182,Uttar-Pradesh,1,5,1,8,0.14976561069488525,0.16912527367082658,0.46888698375251214
183,Uttar-Pradesh,1,5,1,16,0.08355123549699783,0.09130649258241058,0.8451991780346576
184,Uttar-Pradesh,1,5,1,32,0.08931409567594528,0.09776782337855025,0.8225149280213382
185,Uttar-Pradesh,1,7,1,1,0.4717867076396942,0.5120842189124168,-4.192231697023282
186,Uttar-Pradesh,1,7,1,5,0.25645631551742554,0.2829315066881483,-0.5850168122993895
187,Uttar-Pradesh,1,7,1,8,0.19250941276550293,0.2113130193871493,0.11585439786178242
188,Uttar-Pradesh,1,7,1,16,0.1332867592573166,0.1449626014529682,0.5839138967393995
189,Uttar-Pradesh,1,7,1,32,0.08939514309167862,0.09637114873506256,0.8161069624761708
190,Uttar-Pradesh,1,15,1,1,0.4944837987422943,0.5195972716178358,-6.817231259039222
191,Uttar-Pradesh,1,15,1,5,0.21509799361228943,0.22443464365740068,-0.4584750356919072
192,Uttar-Pradesh,1,15,1,8,0.22094504535198212,0.23136012606106965,-0.5498734424819787
193,Uttar-Pradesh,1,15,1,16,0.20411601662635803,0.20884647454313016,-0.26291318097912586
194,Uttar-Pradesh,1,15,1,32,0.14324858784675598,0.14912549370230707,0.3560932846864978
195,Uttar-Pradesh,2,5,1,1,0.37684404850006104,0.4301348871371272,-2.4354156554524953
196,Uttar-Pradesh,2,5,1,5,0.2493651956319809,0.2784333785765655,-0.4395027248687251
197,Uttar-Pradesh,2,5,1,8,0.22288036346435547,0.24169549650158192,-0.0846934736034135
198,Uttar-Pradesh,2,5,1,16,0.13293705880641937,0.14518370150122484,0.6086136675354012
199,Uttar-Pradesh,2,5,1,32,0.11181313544511795,0.12142416651846942,0.7262335911117391
200,Uttar-Pradesh,2,7,1,1,0.41103488206863403,0.4657504591158919,-3.2951448038872604
201,Uttar-Pradesh,2,7,1,5,0.22684797644615173,0.24934228418380486,-0.23101439486525277
202,Uttar-Pradesh,2,7,1,8,0.24177713692188263,0.26635158962504396,-0.4046944787012581
203,Uttar-Pradesh,2,7,1,16,0.2119581699371338,0.22755924020782944,-0.02532184502695589
204,Uttar-Pradesh,2,7,1,32,0.14262910187244415,0.1547439472204163,0.5258687692709345
205,Uttar-Pradesh,2,15,1,1,0.43312913179397583,0.472987649928759,-5.477669795700497
206,Uttar-Pradesh,2,15,1,5,0.19925250113010406,0.20765217749087508,-0.24851041320693268
207,Uttar-Pradesh,2,15,1,8,0.2966684103012085,0.30832354872660556,-1.7525333253890745
208,Uttar-Pradesh,2,15,1,16,0.2417495995759964,0.25188603358085854,-0.8370771308600065
209,Uttar-Pradesh,2,15,1,32,0.19594328105449677,0.2015877840906444,-0.1766508760703125
210,Uttar-Pradesh,3,5,1,1,0.532859742641449,0.592393329047816,-5.516136650504884
211,Uttar-Pradesh,3,5,1,5,0.2010498046875,0.22295942078489578,0.07695776255247466
212,Uttar-Pradesh,3,5,1,8,0.21982556581497192,0.24294593710070309,-0.09594615249286798
213,Uttar-Pradesh,3,5,1,16,0.21200431883335114,0.23086312867032077,0.01035583109659255
214,Uttar-Pradesh,3,5,1,32,0.20114420354366302,0.21865508029685393,0.11225326788183099
215,Uttar-Pradesh,3,7,1,1,0.532905638217926,0.643780936266303,-7.206301346143027
216,Uttar-Pradesh,3,7,1,5,0.2266281247138977,0.24769128256832618,-0.21476626451020864
217,Uttar-Pradesh,3,7,1,8,0.23802851140499115,0.2599702473728121,-0.33819249404926954
218,Uttar-Pradesh,3,7,1,16,0.20699436962604523,0.22498179534274612,-0.0022268159437810464
219,Uttar-Pradesh,3,7,1,32,0.21158376336097717,0.22742117746364773,-0.0240780794847546
220,Uttar-Pradesh,3,15,1,1,0.20964832603931427,0.21909675192962996,-0.38992401544859456
221,Uttar-Pradesh,3,15,1,5,0.2997892200946808,0.30936038483671097,-1.7710774414367099
222,Uttar-Pradesh,3,15,1,8,0.24376673996448517,0.2536691732588759,-0.8631790396677654
223,Uttar-Pradesh,3,15,1,16,0.274446964263916,0.2854659345432662,-1.3595421499430045
