,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
240,Maharashtra,5,5,2,1,0.3431176543235779,0.3600808964674587,-9.981025911657888
241,Maharashtra,5,5,2,2,0.15417148172855377,0.1663932376573704,-1.344844521122969
242,Maharashtra,5,5,2,3,0.04786435887217522,0.057240985494727926,0.7225038846771789
243,Maharashtra,5,5,2,4,0.20977632701396942,0.2164332889369742,-2.96726203026552
244,Maharashtra,5,5,3,1,0.1968417912721634,0.20303190372074684,-2.491172469846889
245,Maharashtra,5,5,3,2,0.1104675903916359,0.12170951548082999,-0.25456114387122764
246,Maharashtra,5,5,3,3,0.16700775921344757,0.17293894439455282,-1.5329600360319149
247,Maharashtra,5,5,3,4,0.21400029957294464,0.2206406884788658,-3.1230059777401635
248,Maharashtra,5,5,4,1,0.5676653385162354,0.5738382700834147,-26.888281430562298
249,Maharashtra,5,5,4,2,0.06829444319009781,0.08076014200075955,0.44762138818317865
250,Maharashtra,5,5,4,3,0.23023754358291626,0.2373699443870356,-3.77193133611377
251,Maharashtra,5,5,4,4,0.13081640005111694,0.13752455302495045,-0.6017810770339802
252,Maharashtra,5,7,2,1,0.311101496219635,0.3180236333208786,-9.917829521635566
253,Maharashtra,5,7,2,2,0.29203325510025024,0.29573269725159795,-8.440961990999414
254,Maharashtra,5,7,2,3,0.276347815990448,0.28494408958364453,-7.764696293822007
255,Maharashtra,5,7,2,4,0.1719067245721817,0.17682688506836813,-2.3753134947558685
256,Maharashtra,5,7,3,1,0.24920831620693207,0.2556615603494272,-6.055834906028678
257,Maharashtra,5,7,3,2,0.07180850207805634,0.08059156776319663,0.2988729176458048
258,Maharashtra,5,7,3,3,0.09622418135404587,0.10528010699318896,-0.19649301392831853
259,Maharashtra,5,7,3,4,0.14146068692207336,0.1496157189162125,-1.4164176413127945
260,Maharashtra,5,7,4,1,0.2345377802848816,0.23990506186867486,-5.212928711703963
261,Maharashtra,5,7,4,2,0.15366661548614502,0.16075728033874706,-1.789708460953244
262,Maharashtra,5,7,4,3,0.15044866502285004,0.15496386851949362,-1.5922592296079103
263,Maharashtra,5,7,4,4,0.14726677536964417,0.15097081986494637,-1.4603878105904906
264,Maharashtra,6,5,2,1,0.10586817562580109,0.11090719386645281,-0.041746760532742844
265,Maharashtra,6,5,2,2,0.17996133863925934,0.183010198604047,-1.8365687756600702
266,Maharashtra,6,5,2,3,0.11362674087285995,0.11841963093462626,-0.18765452461906262
267,Maharashtra,6,5,2,4,0.036278076469898224,0.04161706672467967,0.8533150232911607
268,Maharashtra,6,5,3,1,0.24699147045612335,0.25387967777591314,-4.458817749590848
269,Maharashtra,6,5,3,2,0.12211079895496368,0.13382591658828302,-0.5167818654567484
270,Maharashtra,6,5,3,3,0.24476127326488495,0.2521531545610017,-4.384824411569583
271,Maharashtra,6,5,3,4,0.2706441879272461,0.27668999464910843,-5.483800416826244
272,Maharashtra,6,5,4,1,0.1311492770910263,0.13510822892852714,-0.545988741296513
273,Maharashtra,6,5,4,2,0.2801715135574341,0.28926459542099847,-6.086525413369118
274,Maharashtra,6,5,4,3,0.302184134721756,0.30915408627901875,-7.094550418612203
275,Maharashtra,6,5,4,4,0.12568002939224243,0.13237821174206843,-0.4841430161031304
276,Maharashtra,6,7,2,1,0.14693263173103333,0.15515977069897782,-1.5988175200895909
277,Maharashtra,6,7,2,2,0.12982586026191711,0.13325580075566973,-0.9168573337757073
278,Maharashtra,6,7,2,3,0.25121408700942993,0.2559742269375969,-6.073103354133802
279,Maharashtra,6,7,2,4,0.038918666541576385,0.043529359227035394,0.7954581970132268
280,Maharashtra,6,7,3,1,0.260937362909317,0.2663783721656676,-6.659765220517856
281,Maharashtra,6,7,3,2,0.31247982382774353,0.3190290393713522,-9.986969790949818
282,Maharashtra,6,7,3,3,0.2396942526102066,0.2461734067578058,-5.541837852616731
283,Maharashtra,6,7,3,4,0.11801071465015411,0.12318044557747627,-0.6379515114554395
284,Maharashtra,6,7,4,1,0.28621289134025574,0.29496186345303266,-8.391808623110341
285,Maharashtra,6,7,4,2,0.1424124538898468,0.1493667515169169,-1.408382362782107
286,Maharashtra,6,7,4,3,0.180500328540802,0.18725275586676063,-2.785070370682032
287,Maharashtra,6,7,4,4,0.1441653072834015,0.1486163442263211,-1.384243648349444
288,Uttar-Pradesh,1,5,2,1,0.0692964494228363,0.07283281041488364,0.640910942659018
289,Uttar-Pradesh,1,5,2,2,0.06321217864751816,0.07471139122201795,0.622148046152964
290,Uttar-Pradesh,1,5,2,3,0.11787799000740051,0.1260473141377078,-0.07551186775667951
291,Uttar-Pradesh,1,5,2,4,0.093598872423172,0.10288573200580076,0.28343048182575803
292,Uttar-Pradesh,1,5,3,1,0.047979410737752914,0.05042710517784196,0.8278622776656556
293,Uttar-Pradesh,1,5,3,2,0.08919661492109299,0.09261580678167265,0.41934496236063934
294,Uttar-Pradesh,1,5,3,3,0.13587547838687897,0.14379317397188232,-0.3996665951649425
295,Uttar-Pradesh,1,5,3,4,0.03812038153409958,0.04417689287182015,0.8678891827565834
296,Uttar-Pradesh,1,5,4,1,0.13367478549480438,0.13405507505080622,-0.21650680819974588
297,Uttar-Pradesh,1,5,4,2,0.07266374677419662,0.07739672063095988,0.5944979002952311
298,Uttar-Pradesh,1,5,4,3,0.05600147321820259,0.06593529508845401,0.7057042955933337
299,Uttar-Pradesh,1,5,4,4,0.04651414975523949,0.0588505778741145,0.7655504032548248
300,Uttar-Pradesh,1,7,2,1,0.14484046399593353,0.14906185374929584,-0.9380521885378419
301,Uttar-Pradesh,1,7,2,2,0.01813707873225212,0.024912565601736707,0.9458660993231588
302,Uttar-Pradesh,1,7,2,3,0.11124423891305923,0.11679039270535446,-0.18972523601356306
303,Uttar-Pradesh,1,7,2,4,0.015539944171905518,0.017996785978173925,0.9717497489846394
304,Uttar-Pradesh,1,7,3,1,0.33841654658317566,0.3415465828135053,-9.174950941882436
305,Uttar-Pradesh,1,7,3,2,0.03478320688009262,0.043282259204611456,0.8365999290870849
306,Uttar-Pradesh,1,7,3,3,0.10664437711238861,0.10962815024684255,-0.04827819003581113
307,Uttar-Pradesh,1,7,3,4,0.15854981541633606,0.16385611541043515,-1.3418428239363958
308,Uttar-Pradesh,1,7,4,1,0.1399817317724228,0.14541922823426892,-0.8444890510821372
309,Uttar-Pradesh,1,7,4,2,0.14325125515460968,0.1466302653836399,-0.8753385217995724
310,Uttar-Pradesh,1,7,4,3,0.017062952741980553,0.01890156973811824,0.9688377956067907
311,Uttar-Pradesh,1,7,4,4,0.022208966314792633,0.029090050966350266,0.9261889524388297
312,Uttar-Pradesh,2,5,2,1,0.13468104600906372,0.13957070808343908,-0.31867137287032143
313,Uttar-Pradesh,2,5,2,2,0.022043688222765923,0.028095149799502943,0.9465668572205403
314,Uttar-Pradesh,2,5,2,3,0.1582947075366974,0.1641806449562706,-0.8247021271745778
315,Uttar-Pradesh,2,5,2,4,0.026418205350637436,0.03169215591965853,0.9320089795574942
316,Uttar-Pradesh,2,5,3,1,0.22186116874217987,0.224467979375129,-2.4108040606386263
317,Uttar-Pradesh,2,5,3,2,0.027516743168234825,0.033047285827040036,0.9260701824318718
318,Uttar-Pradesh,2,5,3,3,0.018813280388712883,0.02323511906737874,0.9634541709266244
319,Uttar-Pradesh,2,5,3,4,0.19474124908447266,0.20203790084323772,-1.7632087859711443
320,Uttar-Pradesh,2,5,4,1,0.13540267944335938,0.13913922738086038,-0.310530490417271
321,Uttar-Pradesh,2,5,4,2,0.07448162883520126,0.08544133013687577,0.5058213040145719
322,Uttar-Pradesh,2,5,4,3,0.2868165075778961,0.29242682880564513,-4.7887184048205675
323,Uttar-Pradesh,2,5,4,4,0.09534662216901779,0.1093955616697286,0.18988364408609038
324,Uttar-Pradesh,2,7,2,1,0.0817064419388771,0.08292930761511712,0.4001419219427623
325,Uttar-Pradesh,2,7,2,2,0.044148899614810944,0.04468777809440006,0.8258153226830863
326,Uttar-Pradesh,2,7,2,3,0.02199617773294449,0.025160737997859128,0.9447821945622626
327,Uttar-Pradesh,2,7,2,4,0.025543175637722015,0.034163254806707045,0.898199268882957
328,Uttar-Pradesh,2,7,3,1,0.030572762712836266,0.03253475661884792,0.9076732450109756
329,Uttar-Pradesh,2,7,3,2,0.5097721815109253,0.515067579501962,-22.13986825357194
330,Uttar-Pradesh,2,7,3,3,0.02377931959927082,0.02699375204811709,0.9364436490445545
331,Uttar-Pradesh,2,7,3,4,0.1194595918059349,0.12322270228756468,-0.3243838234503351
332,Uttar-Pradesh,2,7,4,1,0.0940995067358017,0.10192798911198848,0.09380976332337887
333,Uttar-Pradesh,2,7,4,2,0.027859609574079514,0.03607173216118218,0.8865076965042187
334,Uttar-Pradesh,2,7,4,3,0.1751958429813385,0.17833454330166068,-1.773980525223489
335,Uttar-Pradesh,2,7,4,4,0.07666385918855667,0.08475169361793791,0.37348823318979385
336,Uttar-Pradesh,3,5,2,1,0.047211818397045135,0.05001690939988343,0.8306513611519837
337,Uttar-Pradesh,3,5,2,2,0.02892356365919113,0.03599422852065942,0.9122971498186602
338,Uttar-Pradesh,3,5,2,3,0.04103517159819603,0.047074041871768994,0.8499931924848958
339,Uttar-Pradesh,3,5,2,4,0.01628797873854637,0.019814816221771097,0.9734216450894929
340,Uttar-Pradesh,3,5,3,1,0.017234904691576958,0.021437267520075975,0.9688909400560011
341,Uttar-Pradesh,3,5,3,2,0.14709137380123138,0.14753389764077363,-0.4734374316983603
342,Uttar-Pradesh,3,5,3,3,0.023194853216409683,0.028550988471755818,0.9448189034731291
343,Uttar-Pradesh,3,5,3,4,0.15527960658073425,0.16107940944848154,-0.7564186642746746
344,Uttar-Pradesh,3,5,4,1,0.13751459121704102,0.142015883608035,-0.36528032512841935
345,Uttar-Pradesh,3,5,4,2,0.09718099981546402,0.1088524922861187,0.19790696372497996
346,Uttar-Pradesh,3,5,4,3,0.03706224635243416,0.04438196840693936,0.86665979834564
347,Uttar-Pradesh,3,5,4,4,0.06173758953809738,0.07112841926700038,0.6575207032653885
348,Uttar-Pradesh,3,7,2,1,0.032609667629003525,0.03926101103368633,0.8655516816172364
349,Uttar-Pradesh,3,7,2,2,0.08520766347646713,0.08829715277480117,0.3199735131052738
350,Uttar-Pradesh,3,7,2,3,0.09761364012956619,0.09784887390097881,0.1648892111009792
351,Uttar-Pradesh,3,7,2,4,0.044117238372564316,0.051375268710233055,0.7697812688390994
352,Uttar-Pradesh,3,7,3,1,0.12607833743095398,0.12824336754090104,-0.4345056388252675
353,Uttar-Pradesh,3,7,3,2,0.07025627791881561,0.07043048112922491,0.5673330406399182
354,Uttar-Pradesh,3,7,3,3,0.07739106565713882,0.08158023348218606,0.41949992697430416
355,Uttar-Pradesh,3,7,3,4,0.019666191190481186,0.02734560193874857,0.9347760054297518
356,Uttar-Pradesh,3,7,4,1,0.3706032633781433,0.37921896545881856,-11.543319625053162
357,Uttar-Pradesh,3,7,4,2,0.3278410732746124,0.32976266356699446,-8.484956881567102
358,Uttar-Pradesh,3,7,4,3,0.22541986405849457,0.23068534242566185,-3.641650150721836
359,Uttar-Pradesh,3,7,4,4,0.06308117508888245,0.06373793270396623,0.6456533281390238
360,Uttar-Pradesh,4,5,2,1,0.012698455713689327,0.0165947372417071,0.9813581576459874
361,Uttar-Pradesh,4,5,2,2,0.1148509681224823,0.12049792201231016,0.017105032765695083
362,Uttar-Pradesh,4,5,2,3,0.04130665212869644,0.04817321021818362,0.8429061521095094
363,Uttar-Pradesh,4,5,2,4,0.08443283289670944,0.08942029508814395,0.4587221513216403
364,Uttar-Pradesh,4,5,3,1,0.23881202936172485,0.23949744232938394,-2.882842613812386
365,Uttar-Pradesh,4,5,3,2,0.02438482828438282,0.028558404396169263,0.944790236594039
366,Uttar-Pradesh,4,5,3,3,0.12542590498924255,0.13149550246345526,-0.1704957040260433
367,Uttar-Pradesh,4,5,3,4,0.030319221317768097,0.03730643490498491,0.9057859841862574
368,Uttar-Pradesh,4,5,4,1,0.04752993956208229,0.0563711443858474,0.7848894422500802
369,Uttar-Pradesh,4,5,4,2,0.23697583377361298,0.2460379234449668,-3.0978129464670108
370,Uttar-Pradesh,4,5,4,3,0.14981494843959808,0.15682816824665863,-0.6649307234958137
371,Uttar-Pradesh,4,5,4,4,0.05211282894015312,0.054591439382472975,0.7982575999726067
372,Uttar-Pradesh,4,7,2,1,0.014314165338873863,0.016713712005050847,0.9756343368958519
373,Uttar-Pradesh,4,7,2,2,0.15968434512615204,0.16386858515546918,-1.342199155671271
374,Uttar-Pradesh,4,7,2,3,0.024709206074476242,0.02974823124682972,0.9228111283253846
375,Uttar-Pradesh,4,7,2,4,0.11125453561544418,0.11530745338882227,-0.15970396710481416
376,Uttar-Pradesh,4,7,3,1,0.08524132519960403,0.08750196192874968,0.3321667617237254
377,Uttar-Pradesh,4,7,3,2,0.06873688846826553,0.07743181022464779,0.47703666731299277
378,Uttar-Pradesh,4,7,3,3,0.10342670232057571,0.10691170925746439,0.003027949713532596
379,Uttar-Pradesh,4,7,3,4,0.03022080659866333,0.032607541328273065,0.9072596857902321
380,Uttar-Pradesh,4,7,4,1,0.034667883068323135,0.03594318777664316,0.887315124120947
381,Uttar-Pradesh,4,7,4,2,0.36518511176109314,0.37184765178230833,-11.060422607166553
382,Uttar-Pradesh,4,7,4,3,0.1234927549958229,0.12789028230596733,-0.4266174883738749
383,Uttar-Pradesh,4,7,4,4,0.09354735910892487,0.10041030345817657,0.12059483632038104
384,Uttar-Pradesh,5,5,2,1,0.06983271986246109,0.07852033783637058,0.5826385478597274
385,Uttar-Pradesh,5,5,2,2,0.09267325699329376,0.09847535888832125,0.3435477199048773
386,Uttar-Pradesh,5,5,2,3,0.04141994193196297,0.04689829466088037,0.8511111458964977
387,Uttar-Pradesh,5,5,2,4,0.1812308430671692,0.1850934159422215,-1.3191560032951077
388,Uttar-Pradesh,5,5,3,1,0.10734338313341141,0.11529318068748354,0.10018081685073521
389,Uttar-Pradesh,5,5,3,2,0.36557257175445557,0.37763022848056044,-8.653427952180735
390,Uttar-Pradesh,5,5,3,3,0.05970834568142891,0.07674038691652497,0.6013461356171452
391,Uttar-Pradesh,5,5,3,4,0.028463851660490036,0.03445538129846669,0.9196358914892067
392,Uttar-Pradesh,5,5,4,1,0.4212650954723358,0.4354689318790337,-11.836965656016103
393,Uttar-Pradesh,5,5,4,2,0.19540847837924957,0.20519144469602146,-1.850142060685855
394,Uttar-Pradesh,5,5,4,3,0.02004353515803814,0.025606249661689447,0.9556146177527934
395,Uttar-Pradesh,5,5,4,4,0.11280347406864166,0.11923326345847174,0.03762821385086168
396,Uttar-Pradesh,5,7,2,1,0.08570893108844757,0.08845349320545794,0.3175632374480757
397,Uttar-Pradesh,5,7,2,2,0.12949435412883759,0.14790381310811124,-0.9080561955934519
398,Uttar-Pradesh,5,7,2,3,0.3961311876773834,0.4127422011855719,-13.859020047067675
399,Uttar-Pradesh,5,7,2,4,0.028086520731449127,0.034531416738871376,0.8959933269124501
400,Uttar-Pradesh,5,7,3,1,0.13466013967990875,0.13872541146376335,-0.6785893279568453
401,Uttar-Pradesh,5,7,3,2,0.06049789860844612,0.0679636605319429,0.5971104913946326
402,Uttar-Pradesh,5,7,3,3,0.10943491011857986,0.12190785087545437,-0.2962709687404401
403,Uttar-Pradesh,5,7,3,4,0.07263734936714172,0.09299031055706354,0.2457629894867256
404,Uttar-Pradesh,5,7,4,1,0.3350364863872528,0.33813254014808025,-8.972553366713877
405,Uttar-Pradesh,5,7,4,2,0.03705378994345665,0.04188101629418069,0.8470086523393767
406,Uttar-Pradesh,5,7,4,3,0.1319172978401184,0.13657320995365754,-0.6269098350321041
407,Uttar-Pradesh,5,7,4,4,0.23376712203025818,0.24003927325494762,-4.025705250661986
408,Uttar-Pradesh,6,5,2,1,0.1332942396402359,0.1386749441854902,-0.30179916762460723
409,Uttar-Pradesh,6,5,2,2,0.051166046410799026,0.06172850847055629,0.7420594811497698
410,Uttar-Pradesh,6,5,2,3,0.039975713938474655,0.049578398040593094,0.833607786807856
411,Uttar-Pradesh,6,5,2,4,0.1453407257795334,0.15123592345687187,-0.5483101897068379
412,Uttar-Pradesh,6,5,3,1,0.04550263658165932,0.04827785370433385,0.8422229041833514
413,Uttar-Pradesh,6,5,3,2,0.3108431398868561,0.31836631392891523,-5.86123360864933
414,Uttar-Pradesh,6,5,3,3,0.03716696426272392,0.046415575989692384,0.8541604040248204
415,Uttar-Pradesh,6,5,3,4,0.17858190834522247,0.1866123926039632,-1.357376690149736
416,Uttar-Pradesh,6,5,4,1,0.1659139096736908,0.17112691592654922,-0.9823699267736759
417,Uttar-Pradesh,6,5,4,2,0.1481580138206482,0.15215275480440063,-0.5671394559777871
418,Uttar-Pradesh,6,5,4,3,0.016996828839182854,0.02088924669885505,0.9704611509099854
419,Uttar-Pradesh,6,5,4,4,0.1353699415922165,0.14184547332377376,-0.36200590702185
420,Uttar-Pradesh,6,7,2,1,0.0166629645973444,0.019751801078665334,0.9659712642001254
421,Uttar-Pradesh,6,7,2,2,0.012681873515248299,0.01843653646700318,0.9703522885953724
422,Uttar-Pradesh,6,7,2,3,0.24044452607631683,0.2477841600494255,-4.355247200244144
423,Uttar-Pradesh,6,7,2,4,0.058382198214530945,0.0671566262946896,0.6066218883346264
424,Uttar-Pradesh,6,7,3,1,0.3300601541996002,0.33784659876128265,-8.955693442415475
425,Uttar-Pradesh,6,7,3,2,0.04443484544754028,0.056883247093266316,0.7177712776444465
426,Uttar-Pradesh,6,7,3,3,0.13769227266311646,0.1430419601541963,-0.7846757184588715
427,Uttar-Pradesh,6,7,3,4,0.08839619904756546,0.11119771731430993,-0.07851002750868985
428,Uttar-Pradesh,6,7,4,1,0.6801655292510986,0.6905119764613876,-40.58865189402261
429,Uttar-Pradesh,6,7,4,2,0.13273249566555023,0.13869383463461385,-0.6778254626942752
430,Uttar-Pradesh,6,7,4,3,0.37145692110061646,0.376323054784158,-11.352478333265996
431,Uttar-Pradesh,6,7,4,4,0.1469271183013916,0.15667080838121977,-1.1409602007151989
432,Kerala,1,5,2,1,0.07926590740680695,0.08122487470603812,0.6223348210877641
433,Kerala,1,5,2,2,0.07965799421072006,0.08026961656280296,0.6311657859762252
434,Kerala,1,5,2,3,0.09335778653621674,0.09430527159025118,0.49090268728126096
435,Kerala,1,5,2,4,0.03343864157795906,0.03498017571623134,0.9299557058736285
436,Kerala,1,5,3,1,0.23761940002441406,0.24359737991799607,-2.3968317961851344
437,Kerala,1,5,3,2,0.1682274043560028,0.17289476339711127,-0.7111676417173942
438,Kerala,1,5,3,3,0.007573298644274473,0.009173116383338748,0.9951831546539411
439,Kerala,1,5,3,4,0.13326534628868103,0.13684235162754435,-0.07193852994046357
440,Kerala,1,5,4,1,0.43496614694595337,0.44296240154473776,-10.232141528345384
441,Kerala,1,5,4,2,0.2844420075416565,0.2924733869558183,-3.8966786434903744
442,Kerala,1,5,4,3,0.0686737447977066,0.07089677091484015,0.7122722402660886
443,Kerala,1,5,4,4,0.037050552666187286,0.043423496390826405,0.8920609876686816
444,Kerala,1,7,2,1,0.10503391176462173,0.10545254070619203,0.06809026657228945
445,Kerala,1,7,2,2,0.1608225554227829,0.16151097167689688,-1.1860689749728084
446,Kerala,1,7,2,3,0.054216865450143814,0.05456919731770112,0.750451527470283
447,Kerala,1,7,2,4,0.09292380511760712,0.09383799476391472,0.26206659808538824
448,Kerala,1,7,3,1,0.08505620062351227,0.08670086912581075,0.37004914243828935
449,Kerala,1,7,3,2,0.16587822139263153,0.1661329191643906,-1.3129761734575838
450,Kerala,1,7,3,3,0.08054493367671967,0.08172904558314195,0.4402260972237826
451,Kerala,1,7,3,4,0.0369306243956089,0.03753335985112385,0.8819422161879508
452,Kerala,1,7,4,1,0.3105405271053314,0.31357001459516376,-7.240029403314811
453,Kerala,1,7,4,2,0.06701318919658661,0.0679042447040272,0.6135852705960515
454,Kerala,1,7,4,3,0.06711529195308685,0.06832221928766108,0.6088136626161262
455,Kerala,1,7,4,4,0.020274005830287933,0.021853215043437336,0.9599787699213985
456,Kerala,2,5,2,1,0.25216490030288696,0.25892257125601575,-2.837679145732496
457,Kerala,2,5,2,2,0.35120442509651184,0.3566727004402413,-6.28229978253878
458,Kerala,2,5,2,3,0.2146437019109726,0.22070363137516233,-1.7883529933142084
459,Kerala,2,5,2,4,0.3178209960460663,0.3276573549869589,-5.14566286805677
460,Kerala,2,5,3,1,0.2649681568145752,0.2706694412743024,-3.193795752119393
461,Kerala,2,5,3,2,0.18996591866016388,0.19254255682076254,-1.122180571405202
462,Kerala,2,5,3,3,0.2384919375181198,0.24389290258089644,-2.4050788617920853
463,Kerala,2,5,3,4,0.2938408851623535,0.302689998204447,-4.2447524421939455
464,Kerala,2,5,4,1,0.4327576756477356,0.43516243017660317,-9.840057585970234
465,Kerala,2,5,4,2,0.25989285111427307,0.2641772195942464,-2.9950250628288297
466,Kerala,2,5,4,3,0.3342410922050476,0.3418273585213671,-5.688712210420795
467,Kerala,2,5,4,4,0.3271230459213257,0.3333000511700167,-5.359158062170273
468,Kerala,2,7,2,1,0.1667529195547104,0.16777891698555608,-1.3590355911343348
469,Kerala,2,7,2,2,0.2096126228570938,0.20986656907081405,-2.6910187680094784
470,Kerala,2,7,2,3,0.17633792757987976,0.17740792907100345,-1.637581093881587
471,Kerala,2,7,2,4,0.06522812694311142,0.0659281758070576,0.6357480410480376
472,Kerala,2,7,3,1,0.5030615329742432,0.5079298324015615,-20.620572860991263
473,Kerala,2,7,3,2,0.19873517751693726,0.19942632781296013,-2.3329188422289
474,Kerala,2,7,3,3,0.3017031252384186,0.30365664373994344,-6.727257004489965
