,State,Number_feature,Time_Step,number_layers,MAE,RMSE,R2_Score
0,Karnataka,1,5,1,0.07939138263463974,0.08696174117479391,0.5962286175592951
1,Karnataka,1,5,2,0.029453027993440628,0.037209590375804284,0.9260754248222786
2,Karnataka,1,7,1,0.11850298196077347,0.12068727938643234,-0.22371952737497947
3,Karnataka,1,7,2,0.03896854445338249,0.051950321623808915,0.7732562502834583
4,Karnataka,2,5,1,0.08364089578390121,0.08538240545435664,0.6107614148283276
5,Karnataka,2,5,2,0.03302060440182686,0.03633380897980801,0.9295143141088643
6,Karnataka,2,7,1,0.09309743344783783,0.09444348816975771,0.25061847342240606
7,Karnataka,2,7,2,0.032491642981767654,0.03753095754680988,0.8816581908649016
8,Karnataka,3,5,1,0.048733752220869064,0.053890584573346216,0.8449381743898327
9,Karnataka,3,5,2,0.12547485530376434,0.12862013361931024,0.11672279421338272
10,Karnataka,3,7,1,0.0773884728550911,0.07931818264754652,0.47142772195301985
11,Karnataka,3,7,2,0.2053162008523941,0.205807107736038,-2.5586036084463766
12,Karnataka,4,5,1,0.10574039816856384,0.1233959280400694,0.18701834925993255
13,Karnataka,4,5,2,0.22289782762527466,0.23836381451108607,-2.033609737667414
14,Karnataka,4,7,1,0.08843044191598892,0.11645835695909092,-0.13946295729747726
15,Karnataka,4,7,2,0.06612269580364227,0.08957091659428695,0.3259486979136561
16,Karnataka,5,5,1,0.1338130384683609,0.15892255527822186,-0.3484975988323822
17,Karnataka,5,5,2,0.19350497424602509,0.21045805166874282,-1.3648858832036201
18,Karnataka,5,7,1,0.19956214725971222,0.2184560111528913,-3.0094692627634956
19,Karnataka,5,7,2,0.18635886907577515,0.2000434578679174,-2.362076755839239
20,Karnataka,6,5,1,0.09144818037748337,0.10929186249828259,0.3622437374903418
21,Karnataka,6,5,2,0.06699272990226746,0.09011731791393829,0.566393662429618
22,Karnataka,6,7,1,0.0525640994310379,0.06971893175294645,0.5916238764614188
23,Karnataka,6,7,2,0.0442010797560215,0.054581855162110796,0.7497030799562541
24,Maharashtra,1,5,1,0.07711207866668701,0.08952549355826778,0.32120881983757676
25,Maharashtra,1,5,2,0.04278825595974922,0.045927834734765464,0.8213534373277398
26,Maharashtra,1,7,1,0.07011260092258453,0.0826190540202075,0.26315194623297744
27,Maharashtra,1,7,2,0.0684473067522049,0.06913251654175442,0.4840801008894775
28,Maharashtra,2,5,1,0.0506797693669796,0.05719096122817642,0.7229886742827878
29,Maharashtra,2,5,2,0.030013883486390114,0.03329366198143282,0.9061215581377607
30,Maharashtra,2,7,1,0.04189588129520416,0.054184780689362895,0.6830635677740169
31,Maharashtra,2,7,2,0.15396849811077118,0.15425839729034016,-1.5687103893387717
32,Maharashtra,3,5,1,0.03589845448732376,0.04350265909662654,0.8397218361514758
33,Maharashtra,3,5,2,0.026327915489673615,0.030241327214957547,0.9225458971533744
34,Maharashtra,3,7,1,0.035784121602773666,0.04363132201050708,0.7944988378067329
35,Maharashtra,3,7,2,0.07836567610502243,0.08166206822030823,0.2801230786106508
36,Maharashtra,4,5,1,0.09094398468732834,0.10325414092613379,0.09706253461545555
37,Maharashtra,4,5,2,0.07567521929740906,0.08253158673138662,0.42312313457953277
38,Maharashtra,4,7,1,0.09866455942392349,0.10731806941373948,-0.24326366494129315
39,Maharashtra,4,7,2,0.14110606908798218,0.14647630033490436,-1.3160729626269343
40,Maharashtra,5,5,1,0.04607567936182022,0.0565660680684766,0.7290090728439758
41,Maharashtra,5,5,2,0.18045011162757874,0.18575678546392335,-1.922349009827704
42,Maharashtra,5,7,1,0.06232171505689621,0.07553799991785487,0.3840456691496503
43,Maharashtra,5,7,2,0.08821701258420944,0.09249006964727569,0.07656191130854495
44,Maharashtra,6,5,1,0.06965018808841705,0.08101569237333787,0.4441200574186537
45,Maharashtra,6,5,2,0.04517388343811035,0.048390941874575474,0.8016780212683554
46,Maharashtra,6,7,1,0.0936683863401413,0.10173691390362367,-0.11731239331611287
47,Maharashtra,6,7,2,0.11013194173574448,0.11310104720481866,-0.3808634949873304
48,Uttar-Pradesh,1,5,1,0.10096754878759384,0.11257429931117803,0.1421200809950416
49,Uttar-Pradesh,1,5,2,0.037053532898426056,0.04016124296318184,0.8908151678413609
50,Uttar-Pradesh,1,7,1,0.10858336836099625,0.11800735107351866,-0.2146482460563648
51,Uttar-Pradesh,1,7,2,0.0539882592856884,0.05648451082587894,0.7217141201689377
52,Uttar-Pradesh,2,5,1,0.07651222497224808,0.09215744708665567,0.42507803130768707
53,Uttar-Pradesh,2,5,2,0.0800938606262207,0.08809433746886274,0.47465571098129566
54,Uttar-Pradesh,2,7,1,0.07310686260461807,0.08754427004946526,0.3315208654441457
55,Uttar-Pradesh,2,7,2,0.0945810079574585,0.10169432411261549,0.09795986109120058
56,Uttar-Pradesh,3,5,1,0.05810854956507683,0.07197110952115422,0.6493576153226359
57,Uttar-Pradesh,3,5,2,0.07754707336425781,0.08765463937207861,0.47988689495255965
58,Uttar-Pradesh,3,7,1,0.04507362097501755,0.05864652998327257,0.70000287722303
59,Uttar-Pradesh,3,7,2,0.06250996142625809,0.0688063551749504,0.5870575801555762
60,Uttar-Pradesh,4,5,1,0.10722212493419647,0.11882352842661309,0.04423105515031944
61,Uttar-Pradesh,4,5,2,0.07054448127746582,0.07918093078608254,0.5755864488392028
62,Uttar-Pradesh,4,7,1,0.04715883359313011,0.06317154888924685,0.6519228777466941
63,Uttar-Pradesh,4,7,2,0.0718783512711525,0.07954662705983935,0.4480802304169643
64,Uttar-Pradesh,5,5,1,0.080950066447258,0.09644742482105925,0.370306406936186
65,Uttar-Pradesh,5,5,2,0.13601690530776978,0.14342529927517228,-0.39251393738810614
66,Uttar-Pradesh,5,7,1,0.09949476271867752,0.11260091027539597,-0.1059009018495034
67,Uttar-Pradesh,5,7,2,0.06342077255249023,0.06764835404645216,0.600840111533733
68,Uttar-Pradesh,6,5,1,0.11079654842615128,0.11664129359851491,0.07901477748835828
69,Uttar-Pradesh,6,5,2,0.05308852717280388,0.06421894097821873,0.7208264443189445
70,Uttar-Pradesh,6,7,1,0.12633047997951508,0.13116211531673666,-0.5005457911878941
71,Uttar-Pradesh,6,7,2,0.0620732307434082,0.06552792760642896,0.6254711587357479
72,Kerala,1,5,1,0.13601285219192505,0.1413999964453543,-0.14453130019055616
73,Kerala,1,5,2,0.08391739428043365,0.08444093097447664,0.5918358268197839
74,Kerala,1,7,1,0.12994223833084106,0.13188981262289456,-0.4577474094203411
75,Kerala,1,7,2,0.08970325440168381,0.09038642585878724,0.31535379632683525
76,Kerala,2,5,1,0.20072831213474274,0.20735458999676684,-1.4612523356551104
77,Kerala,2,5,2,0.2714408338069916,0.2773254818339827,-3.4025914430481254
78,Kerala,2,7,1,0.15666945278644562,0.16107023353313837,-1.1741543814573387
79,Kerala,2,7,2,0.17576798796653748,0.1784801973877375,-1.6695608999984142
80,Kerala,3,5,1,0.09297533333301544,0.10344166182590188,0.3874806676534214
81,Kerala,3,5,2,0.14036965370178223,0.14560743416291863,-0.21365694590479967
82,Kerala,3,7,1,0.12072177231311798,0.12475767712845816,-0.30435058633769074
83,Kerala,3,7,2,0.14049798250198364,0.1435039326738657,-0.7257876492443469
84,Kerala,4,5,1,0.1058279350399971,0.12107235196467168,0.16089012802321767
85,Kerala,4,5,2,0.17022162675857544,0.18644366131140686,-0.9898670137448291
86,Kerala,4,7,1,0.13593728840351105,0.14509701826114757,-0.7643174010134375
87,Kerala,4,7,2,0.12035814672708511,0.12913174846210101,-0.3974163889463298
88,Kerala,5,5,1,0.08047423511743546,0.10018413343770204,0.4254514658789528
89,Kerala,5,5,2,0.19048316776752472,0.20774427025257952,-1.4705117734775341
90,Kerala,5,7,1,0.11541461944580078,0.12466165079862061,-0.30234342718803475
91,Kerala,5,7,2,0.16305150091648102,0.17685097404847522,-1.6210462200427607
92,Kerala,6,5,1,0.1620972901582718,0.17560851829205115,-0.7653058969387863
93,Kerala,6,5,2,0.060063932090997696,0.07695094313650822,0.6610335228244698
94,Kerala,6,7,1,0.10785187780857086,0.12528790904508025,-0.3154612578220153
95,Kerala,6,7,2,0.08397265523672104,0.09844975433064676,0.18775135764503104
96,Tamil-Nadu,1,5,1,0.09883034974336624,0.1113252430258372,0.4170809524699818
97,Tamil-Nadu,1,5,2,0.06328348070383072,0.06768405995781084,0.7845265473684215
98,Tamil-Nadu,1,7,1,0.10109800845384598,0.11153827875798084,0.2672358167634046
99,Tamil-Nadu,1,7,2,0.047045525163412094,0.04953020322608142,0.855503780478267
100,Tamil-Nadu,2,5,1,0.05917659029364586,0.07492512924597179,0.7359562131525356
101,Tamil-Nadu,2,5,2,0.08068238943815231,0.09170961798383123,0.6044050735093216
102,Tamil-Nadu,2,7,1,0.059311363846063614,0.07682941969594648,0.6523266560490133
103,Tamil-Nadu,2,7,2,0.030382733792066574,0.034880380284053256,0.9283396843253607
104,Tamil-Nadu,3,5,1,0.04661219194531441,0.06127025719949182,0.8234286139023881
105,Tamil-Nadu,3,5,2,0.03692568838596344,0.04806393576314154,0.8913425350004528
106,Tamil-Nadu,3,7,1,0.05623512715101242,0.07192399814168669,0.6953059856667525
107,Tamil-Nadu,3,7,2,0.04017892852425575,0.04973686967723799,0.8542954414252144
108,Tamil-Nadu,4,5,1,0.048746004700660706,0.05482294773236165,0.858633765943346
109,Tamil-Nadu,4,5,2,0.02635335549712181,0.03427333095080507,0.944749837621804
110,Tamil-Nadu,4,7,1,0.04644066467881203,0.054097410758841,0.8276269985158367
111,Tamil-Nadu,4,7,2,0.09922805428504944,0.10422353880773698,0.360194584726782
112,Tamil-Nadu,5,5,1,0.09956043213605881,0.11478433986163841,0.3802932494767167
113,Tamil-Nadu,5,5,2,0.03956723213195801,0.04895587659862283,0.8872723139371224
114,Tamil-Nadu,5,7,1,0.09576080739498138,0.11439348789264885,0.229240593387819
115,Tamil-Nadu,5,7,2,0.09596280008554459,0.1009828689125861,0.3993635583265821
116,Tamil-Nadu,6,5,1,0.07685528695583344,0.08740920300979743,0.6406354365731552
117,Tamil-Nadu,6,5,2,0.06593195348978043,0.0773631470131811,0.7184930002048966
118,Tamil-Nadu,6,7,1,0.05141874775290489,0.06403187886390534,0.7585046605079737
119,Tamil-Nadu,6,7,2,0.12403972446918488,0.12663685945422856,0.05542480748025569
